00000000&Charles&Xavier&X-MEN&Otro&MALE&12345678&01.01.1990 00:00
00000001&Maria&Rauld&UC&Casa Rauld&FEMALE&12345678&01.10.1980 00:00
00000002&Maria&Gutierrez&UC&Casa Gutierrez&FEMALE&12345678&02.10.1980 00:00
00000003&Luis&Morales&UC&Casa Morales&MALE&12345678&03.10.1980 00:00
00000004&Luis&Dissett&UC&Casa Dissett&MALE&12345678&04.10.1980 00:00
00000005&Wolfgang&Rivera&UC&Casa Wolfgang&MALE&12345678&05.10.1980 00:00
00000006&Jose&Gaggero&UC&Casa Gaggero&MALE&12345678&06.10.1980 00:00
00000007&Ivan&Huerta&UC&Casa Huerta&MALE&12345678&07.10.1980 00:00
00000008&Ricardo&Aravena&UC&Casa Aravena&MALE&12345678&08.10.1980 00:00
00000009&Raul&Contreras&UC&Casa Contreras&MALE&12345678&09.10.1980 00:00
00000010&Samuel&Hevia&UC&Casa Hevia&MALE&12345678&10.10.1980 00:00
00000011&Mario&Favre&UC&Casa Favre&MALE&12345678&11.10.1980 00:00
00000012&Paulina&Toro&UC&Casa Toro&FEMALE&12345678&12.10.1980 00:00
00000013&Mauricio&Correa&UC&Casa Correa&MALE&12345678&13.10.1980 00:00
00000014&Catalina&Cortazar&UC&Casa Cortazar&FEMALE&12345678&14.10.1980 00:00
00000015&Carla&Vairetti&UC&Casa Vairetti&FEMALE&12345678&15.10.1980 00:00
00000016&Maria&Arzola&UC&Casa Arzola&FEMALE&12345678&16.10.1980 00:00
00000017&Alejandro&Cataldo&UC&Casa Cataldo&MALE&12345678&17.10.1980 00:00
00000018&Cristian&Escauriaza&UC&Casa Escauriaza&MALE&12345678&17.10.1980 00:00
00000019&Marcelo&Arenas&UC&Casa Arenas&MALE&12345678&13.09.1990 00:00
00000020&Pedro&Gazmuri&UC&Casa Gazmuri&MALE&12345678&16.09.1990 01:00
00000021&Ricardi&Raineri&UC&Casa Raineri&MALE&12345678&16.09.1990 01:00
00000022&Ana&Bravo&UC&Casa Bravo&FEMALE&12345678&16.09.1990 01:00
00000023&Julio&Pertuze&UC&Casa Pertuze&MALE&12345678&16.09.1990 01:00
00000024&Karim&Pichara&UC&Casa Pichara&MALE&12345678&15.09.1990 00:00
00000025&Yadran&Eterovic&UC&Casa Yadran&MALE&12345678&15.09.1990 00:00
00000026&Hans&Lobel&UC&Casa Lobel&MALE&12345678&20.09.1990 00:00
00000027&Cristian&Ruz&UC&Casa Ruz&MALE&12345678&20.09.1990 00:00
00000028&Andres&Letelier&UC&Casa Letelier&MALE&12345678&23.09.1990 00:00
00000029&Roberto&Gejman&UC&Casa Gejman&MALE&12345678&21.09.1990 00:00
00000030&Marcos&Sepulveda&UC&Casa Sepulveda&MALE&12345678&25.09.1990 00:00
00000031&Miguel&Nussbaum&UC&Casa Nussbaum&MALE&12345678&27.09.1990 00:00
00000032&Maria&Droguett&UC&Casa Droguett&MALE&12345678&27.09.1990 00:00
00000033&Hugo&Neyem&UC&Casa Neyem&MALE&12345678&27.09.1990 00:00
00000034&Carlos&Vizcaya&UC&Casa Carlos&MALE&12345678&14.09.1990 00:00
00000035&Claudia&Arqueros&UC&Casa Arqueros&FEMALE&12345678&18.09.1990 00:00
00000036&Arturo&Tagle&UC&Casa Tagle&MALE&12345678&27.09.1990 00:00
00000037&Tomas&Reyes&UC&Casa Reyes&MALE&12345678&11.09.1990 00:00
00000038&Fernando&Tagle&UC&Casa Tagle&MALE&12345678&27.09.1990 00:00
00000039&Francisco&Unda&UC&Casa Unda&MALE&12345678&19.09.1990 00:00
00000040&Felipe&Naul&UC&Casa Maul&MALE&12345678&23.09.1990 00:00
00000041&Cristian&Tejos&UC&Casa Tejos&MALE&12345678&21.09.1990 00:00
